@@,itemlabel,item,startdate,enddate
+++,Zhou Chiheng,Q10920588,1950,1952
+++,Li Youwen,Q11110633,1952,1967
+++,Wang Huaixiang,Q8294980,1968,1977
+++,Wang Enmao,Q8290825,1977,1980
+++,Yu Ke,Q10880546,1980,1982
+++,Zhang Gensheng,Q11067274,1982,1983
+++,Zhao Xiu,Q16907243,1983,1985
+++,Gao Dezhan,Q9447630,1985,1987
+++,He Zhukang,Q9105445,1987,1989
+++,Wang Zhongyu,Q9065426,1989,1992
+++,Gao Yan,Q8293763,1992,1995
+++,Wang Yunkun,,1995,1998
+++,Hong Hu,Q5895614,1998,2004
+++,Wang Min,Q3377052,2004,2006
+++,Han Changfu,Q376439,2006,2009
+++,Wang Rulin,Q2548247,2009,2012
+++,Bayanqolu,Q4456697,2012,2014
+++,Jiang Chaoliang,Q1553706,2014,2016
->,Liu Guozhong,Q8989779,2016-12-12->2016,2018-01-02->2018
+++,Jing Junhai,Q8975612,2018,2020
+++,Han Jun,Q30945576,2020,
