item,itemLabel,startDate,endDate
Q3377521,Zhang Dingcheng,1949,1954
Q699398,Ye Fei,1954,1959
Q11133612,Jiang Yizhen,1959,
Q11133612,Jiang Yizhen,1962,
,Wei Jinshui,1962,1967
Q5646706,Han Xianchu,1967,1973
Q7929740,Liao Zhigao,1974,1979
,Ma Xingyuan,1979,1983
Q8965685,Hu Ping,1983,1987
Q711168,Wang Zhaoguo,1987,1990
Q380590,Jia Qinglin,1990,1994
Q1306740,Chen Mingyi,1994,1996
Q737894,He Guoqiang,1996,1999
Q15031,Xi Jinping,1999,2002
Q842060,Lu Zhangong,2002,2004
Q376456,Huang Xiaojing,2004,2011
Q2361332,Su Shulin,2011,2015
Q8292831,Yu Weiguo,2015,2018
Q47015950,Tang Dengjie,2018,2020
Q24833108,Wang Ning,2020,2021
Q97487331,Zhao Long,2021,
