@@,itemlabel,item,startdate,enddate
+++,Zhang Dingcheng,Q3377521,1949,1954
+++,Ye Fei,Q699398,1954,1959
+++,Jiang Yizhen,Q11133612,1959,
+++,Jiang Yizhen,Q11133612,1962,
+++,Wei Jinshui,,1962,1967
+++,Han Xianchu,Q5646706,1967,1973
+++,Liao Zhigao,Q7929740,1974,1979
+++,Ma Xingyuan,,1979,1983
->,Hu Ping,Q8965685,1983-01-01->1983,1987-09-01->1987
+++,Wang Zhaoguo,Q711168,1987,1990
+++,Jia Qinglin,Q380590,1990,1994
+++,Chen Mingyi,Q1306740,1994,1996
->,He Guoqiang,Q737894,1996-01-01->1996,1999-01-01->1999
->,Xi Jinping,Q15031,1999-08-01->1999,2002-10-01->2002
+++,Lu Zhangong,Q842060,2002,2004
+++,Huang Xiaojing,Q376456,2004,2011
+++,Su Shulin,Q2361332,2011,2015
+++,Yu Weiguo,Q8292831,2015,2018
->,Tang Dengjie,Q47015950,2018-01-02->2018,2020-07-02->2020
->,Wang Ning,Q24833108,2020-07-02->2020,2021-10-19->2021
+++,Zhao Long,Q97487331,2021,
