wdid,name,wdLabel,source,sourceDate,pid,position,start,psid
Q197445,Zhao Kezhi,Zhao Kezhi,,,Q835630,State Councilor of the People's Republic of China,2018-03-19,Q197445-E3B40B3C-6214-4770-8937-E8E9A0FC819B
Q2548285,Wang Yong,Wang Yong,,,Q835630,State Councilor of the People's Republic of China,2013-03-01,Q2548285-72b93508-4420-5424-9604-5a94737bd38f
Q2650507,Yang Jing,Yang Jing,,,Q835630,State Councilor of the People's Republic of China,2013-03-01,Q2650507-b8fdd6fd-47d2-74ff-9604-fc6605c67a62
Q27503,Chang Wanquan,Chang Wanquan,,,Q835630,State Councilor of the People's Republic of China,2013-03-01,Q27503-2c7272ed-407c-f976-7bc7-839e72093323
Q701801,Wang Yi,Wang Yi,,,Q835630,State Councilor of the People's Republic of China,2018-03-19,Q701801-FF7817AB-25C0-4AE0-9C8A-850122011E41
Q7929529,Wei Fenghe,Wei Fenghe,,,Q835630,State Councilor of the People's Republic of China,2018-03-19,Q7929529-0FF6632F-73B5-4F09-965C-C5709319F7D3
Q58211,Yang Jiechi,Yang Jiechi,,,Q835630,State Councilor of the People's Republic of China,2013-03-16,q58211-cd717989-452b-b85a-b4bb-6aa777255dc8
