@@,name,position
->,Zhao Kezhi,State Councilor of the People's Republic of China->Minister of Public Security
->,Wei Fenghe,State Councilor of the People's Republic of China->Minister of National Defense
->,Wang Yi,State Councilor of the People's Republic of China->Minister of Foreign Affairs
---,Yang Jing,State Councilor of the People's Republic of China
---,Yang Jiechi,State Councilor of the People's Republic of China
---,Wang Yong,State Councilor of the People's Republic of China
---,Chang Wanquan,State Councilor of the People's Republic of China
+++,Zhang Jinan,Minister of Human Resources and Social Security
+++,Yi Gang,Governor of the People’s Bank of China
+++,Xiao Yaqing,Minister of Industry and Information Technology
+++,Wang Zhigang,Minister of Science and Technology
+++,Wang Wentao,Minister of Commerce
+++,Wang Menghui,Minister of Housing and Urban-Rural Development
+++,Tang Yijun,Minister of Justice
+++,Tang Renjian,Minister of Agriculture and Rural Affairs
+++,Sun Shaocheng,Minister of Veterans Affairs
+++,Ma Xiaowei,Minister in charge of the National Health Commission
+++,Lu Hao,Minister of Natural Resources
+++,Liu Kun,Minister of Finance
+++,Li Xiaopeng,Minister of Transport
+++,Li Jiheng,Minister of Civil Affairs
+++,Li Guoying,Minister of Water Resources
+++,Huang Runqiu,Minister of Ecology and Environment
+++,Huang Ming,Minister of Emergency Management
+++,Huai Jinpeng,Minister of Education
+++,Hu Heping,Minister of Culture and Tourism
+++,Hou Kai,Auditor-General of the National Audit Office
+++,He Lifeng,Minister in charge of the National Development and Reform Commission
+++,Chen Xiaojiang,Minister in charge of the State Ethnic Affairs Commission
+++,Chen Wenqing,Minister of State Security
